Date,Title,URL
"September 12, 2024, 13:00",Meeting with Chinese Foreign Minister Wang Yi,http://en.kremlin.ru/events/president/transcripts/75087
"September 12, 2024, 11:25",Meeting with BRICS high-ranking officials responsible for security matters,http://en.kremlin.ru/events/president/transcripts/75086
"September 10, 2024, 17:15",Meeting with Chairman of the National Assembly of Vietnam Tran Thanh Man,http://en.kremlin.ru/events/president/transcripts/75084
"September 4, 2024, 12:05",Meeting with Deputy Prime Minister of Serbia Aleksandar Vulin,http://en.kremlin.ru/events/president/transcripts/75021
"September 4, 2024, 11:05",Meeting with Vice President of the People's Republic of China Han Zheng,http://en.kremlin.ru/events/president/transcripts/75020
"September 3, 2024, 12:30",Conversation with Chairman of State Great Khural of Mongolia Dashzegve Amarbayasgalan,http://en.kremlin.ru/events/president/transcripts/74994
"September 3, 2024, 11:00",Speeches by presidents of Russia and Mongolia at the expanded-format talks,http://en.kremlin.ru/events/president/transcripts/74992
"September 3, 2024, 08:30",Russian-Mongolian talks,http://en.kremlin.ru/events/president/transcripts/74991
"September 2, 2024, 04:00",Interview to Mongolian Onoodor Newspaper,http://en.kremlin.ru/events/president/transcripts/74979
"August 21, 2024, 15:15",Meeting with Premier of the State Council of China Li Qiang,http://en.kremlin.ru/events/president/transcripts/74910
"August 19, 2024, 14:10",Beginning of Russia-Azerbaijan talks in expanded format,http://en.kremlin.ru/events/president/transcripts/74885
"August 19, 2024, 12:10",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/74884
"August 12, 2024, 10:35",Address on the opening of the Army 2024 International Military-Technical Forum,http://en.kremlin.ru/events/president/transcripts/74854
"July 28, 2024, 13:00",Speech at the meeting with heads of foreign delegations taking part in Russia's Navy Day celebrations,http://en.kremlin.ru/events/president/transcripts/74654
"July 25, 2024, 09:00",Meeting with President of Syria Bashar al-Assad,http://en.kremlin.ru/events/president/transcripts/74637
"July 11, 2024, 16:00",Meeting with Speaker of the Islamic Consultative Assembly of Iran Mohammad Bagher Ghalibaf,http://en.kremlin.ru/events/president/transcripts/74531
"July 11, 2024, 15:00",Meeting with Chairman of the Standing Committee of the National People’s Congress of China Zhao Leji,http://en.kremlin.ru/events/president/transcripts/74529
"July 11, 2024, 14:30",10th BRICS Parliamentary Forum,http://en.kremlin.ru/events/president/transcripts/74528
"July 9, 2024, 16:20",Presenting the Order of St Andrew the Apostle to Prime Minister of India Narendra Modi,http://en.kremlin.ru/events/president/transcripts/74517
"July 9, 2024, 15:00",Begininng of the Russia-India talks,http://en.kremlin.ru/events/president/transcripts/74519
"July 8, 2024, 19:45",Informal meeting with Prime Minister of India Narendra Modi,http://en.kremlin.ru/events/president/transcripts/74511
"July 8, 2024, 14:55",Meeting with employees of Russia International Exhibition and Forum,http://en.kremlin.ru/events/president/transcripts/74490
"July 5, 2024, 17:00",Press statements following talks with Hungarian Prime Minister Viktor Orban,http://en.kremlin.ru/events/president/transcripts/74475
"July 5, 2024, 14:00",Talks with Prime Minister of Hungary Viktor Orban,http://en.kremlin.ru/events/president/transcripts/74474
"July 4, 2024, 16:00",Meeting in the SCO Plus format,http://en.kremlin.ru/events/president/transcripts/74467
"July 4, 2024, 14:00",Meeting with Emir of Qatar Sheikh Tamim bin Hamad Al Thani,http://en.kremlin.ru/events/president/transcripts/74468
"July 4, 2024, 11:30",Meeting with Acting Head of the Executive Branch of the Islamic Republic of Iran Mohammad Mokhber,http://en.kremlin.ru/events/president/transcripts/74465
"July 4, 2024, 11:00",SCO Heads of State Council Meeting,http://en.kremlin.ru/events/president/transcripts/74464
"July 3, 2024, 18:30",Meeting with President of Kazakhstan Kassym-Jomart Tokayev,http://en.kremlin.ru/events/president/transcripts/74462
"July 3, 2024, 16:40",Meeting with President of China Xi Jinping,http://en.kremlin.ru/events/president/transcripts/74461
"July 3, 2024, 13:45",Meeting with Prime Minister of Pakistan Shehbaz Sharif,http://en.kremlin.ru/events/president/transcripts/74458
"July 3, 2024, 12:40",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/74457
"July 3, 2024, 11:30",Meeting with President of Mongolia Ukhnaagiin Khurelsukh,http://en.kremlin.ru/events/president/transcripts/74456
"June 28, 2024, 12:20",Address to participants in the panel session of the 11th Forum of Russian and Belarusian Regions,http://en.kremlin.ru/events/president/transcripts/74430
"June 20, 2024, 13:40",Meeting with President of the National Assembly of Vietnam Tran Thanh Man,http://en.kremlin.ru/events/president/transcripts/74355
"June 20, 2024, 12:30",Meeting with General Secretary of the Communist Party of Vietnam Central Committee Nguyen Phu Trong,http://en.kremlin.ru/events/president/transcripts/74350
"June 20, 2024, 10:50",Meeting with Prime Minister of the Government of Vietnam Pham Minh Chinh,http://en.kremlin.ru/events/president/transcripts/74349
"June 20, 2024, 10:30",Vladimir Putin and President of Vietnam To Lam’s statements to the media,http://en.kremlin.ru/events/president/transcripts/74348
"June 20, 2024, 08:50",Russia-Vietnam talks,http://en.kremlin.ru/events/president/transcripts/74345
"June 19, 2024, 18:30","Article by Vladimir Putin for publication in Nhân Dân, the official newspaper of the Communist Party of Vietnam Central Committee, Russia and Vietnam: Friendship Tested by Time",http://en.kremlin.ru/events/president/transcripts/74336
"June 14, 2024, 13:35",Meeting with Foreign Ministry senior officials,http://en.kremlin.ru/events/president/transcripts/74285
"June 12, 2024, 20:00",Video address to participants in the opening ceremony of BRICS Sports Games,http://en.kremlin.ru/events/president/transcripts/74272
"June 11, 2024, 20:15",Meeting with Foreign Minister of Turkiye Hakan Fidan,http://en.kremlin.ru/events/president/transcripts/74249
"June 7, 2024, 18:40",Plenary session of the St Petersburg International Economic Forum,http://en.kremlin.ru/events/president/transcripts/74234
"June 5, 2024, 23:15",Meeting with heads of international news agencies,http://en.kremlin.ru/events/president/transcripts/74223
"May 28, 2024, 16:25",Answers to media questions following the visit to Uzbekistan,http://en.kremlin.ru/events/president/transcripts/74132
"May 27, 2024, 18:15",Council of Regions of Russia and Uzbekistan,http://en.kremlin.ru/events/president/transcripts/74126
"May 27, 2024, 15:30",Press statement following Russia-Uzbekistan talks,http://en.kremlin.ru/events/president/transcripts/74124
"May 27, 2024, 13:10",Beginning of Russia-Uzbekistan talks in expanded format,http://en.kremlin.ru/events/president/transcripts/74123
"May 27, 2024, 12:15",Beginning of conversation with President of the Republic of Uzbekistan Shavkat Mirziyoyev,http://en.kremlin.ru/events/president/transcripts/74122
"May 24, 2024, 17:30",News conference following Russian-Belarusian talks,http://en.kremlin.ru/events/president/transcripts/74108
"May 24, 2024, 16:40",Beginning of Russian-Belarusian talks in an expanded format,http://en.kremlin.ru/events/president/transcripts/74107
"May 24, 2024, 14:50",Beginning of Russia-Belarus narrow-format talks,http://en.kremlin.ru/events/president/transcripts/74106
"May 17, 2024, 13:30",Answers to media questions following the visit to China,http://en.kremlin.ru/events/president/transcripts/74065
"May 17, 2024, 08:45",Conversation with Vice President of China Han Zheng,http://en.kremlin.ru/events/president/transcripts/74061
"May 17, 2024, 08:20",Opening of the Russia-China EXPO and the Russia-China Forum on Interregional Cooperation,http://en.kremlin.ru/events/president/transcripts/74060
"May 16, 2024, 12:45",Russia and China open cross years of culture,http://en.kremlin.ru/events/president/transcripts/74052
"May 16, 2024, 11:45",Meeting with Premier of the State Council of China Li Qiang,http://en.kremlin.ru/events/president/transcripts/74050
"May 16, 2024, 09:55",Media statement following Russia-China talks,http://en.kremlin.ru/events/president/transcripts/74049
"May 16, 2024, 08:00",Beginning of Russia-China talks,http://en.kremlin.ru/events/president/transcripts/74048
"May 16, 2024, 07:00",Beginning of the conversation with President of China Xi Jinping,http://en.kremlin.ru/events/president/transcripts/74046
"May 9, 2024, 15:10",Beginning of the Russian-Cuban expanded-format talks,http://en.kremlin.ru/events/president/transcripts/74005
"May 9, 2024, 14:40",Meeting with President of Cuba Miguel Diaz-Canel Bermudez,http://en.kremlin.ru/events/president/transcripts/74001
"May 9, 2024, 13:50",Meeting with President of the Republic of Tajikistan Emomali Rahmon,http://en.kremlin.ru/events/president/transcripts/74000
"May 8, 2024, 23:45",Meeting with President of Uzbekistan Shavkat Mirziyoyev,http://en.kremlin.ru/events/president/transcripts/73994
"May 8, 2024, 22:40",Meeting with Prime Minister of Armenia Nikol Pashinyan,http://en.kremlin.ru/events/president/transcripts/73993
"May 8, 2024, 19:50",Beginning of the Supreme Eurasian Economic Council meeting in expanded format,http://en.kremlin.ru/events/president/transcripts/73992
"May 8, 2024, 17:15",Beginning of the Supreme Eurasian Economic Council meeting in restricted format,http://en.kremlin.ru/events/president/transcripts/73991
"April 22, 2024, 15:30",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/73904
"April 11, 2024, 21:30",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/73852
"March 19, 2024, 22:10",Meeting with Eurasian Economic Commission Board Chairman Bakytzhan Sagintayev,http://en.kremlin.ru/events/president/transcripts/73683
